Landmark,Distance_mm
Glabella,11.5502914274599
Nasion,13.3773441223617
Sellion,20.8951958549769
Endocanthion Right,10.9498100131541
Endocanthion Left,12.0068432479053
Exocanthion Right,6.48378529581166
Exocanthion Left,8.4176226247442
Orbital Right,16.7790136186431
Orbital Left,14.6470293477694
Superius Right,29.7145897075283
Superius Left,29.6520804974284
Zygion Right,22.1474737194735
Zygion Left,156.025650598705
Alar Curvature Right,11.3045067617878
Alar Curvature Left,13.8579197359131
